school_name,country,oversea_course,oversea_code,ust_course,ust_code,credit,ref
Ecole Polytechnique Federale de Lausanne,Switzerland,A network tour of data science,EE558,Computer Science Track Course,COMPS&D,3 Credits,B033261-01
Ecole Polytechnique Federale de Lausanne,Switzerland,Advanced Cryptography,COM-501,Computer Science Track Course,COMPS&N,3 Credits,B037245-02
Ecole Polytechnique Federale de Lausanne,Switzerland,Computational Photography,CS413,Computer Science Track Course,COMPG&M,3 Credits,B034263-02
Ecole Polytechnique Federale de Lausanne,Switzerland,Computer security,COM301,Principles of Cybersecurity,COMP3632,3 Credits,B034678-01
Ecole Polytechnique Federale de Lausanne,Switzerland,Deep Learning,EE559,Computer Science Track Course,COMPA&T,3 Credits,B034264-02
Ecole Polytechnique Federale de Lausanne,Switzerland,Experience design,CS489,Computer Science Track Course,COMPG&M,3 Credits,B033266-02
Ecole Polytechnique Federale de Lausanne,Switzerland,Graph Theory,MATH360,Computer Science Track Course,COMPA&T,3 Credits,B032234-02
Ecole Polytechnique Federale de Lausanne,Switzerland,Introduction to Computer Graphics,CS341,Computer Graphics,COMP4411,3 Credits,B007724-02
Ecole Polytechnique Federale de Lausanne,Switzerland,Introduction to Database Systems,CS322,Database Management Systems,COMP3311,3 Credits,B007725-02
Ecole Polytechnique Federale de Lausanne,Switzerland,Introduction to Machine Learning (BA4),CS233(B),Machine Learning,COMP4211,3 Credits,B034262-01
Ecole Polytechnique Federale de Lausanne,Switzerland,Parallel and high performance computing,MATH-454,Parallel Programming,COMP5112,3 Credits,B015538-02
Ecole Polytechnique Federale de Lausanne,Switzerland,Software Security,CS412,Computer Science Track Course,COMPS&N,3 Credits,B034265-02
Ecole Polytechnique Federale de Lausanne,Switzerland,TCP/IP networking,COM407,Computer Networks,COMP5621,3 Credits,B033264-01
Ecole Polytechnique Federale de Lausanne through the Global Virtual Exchange Program,Switzerland,Biological Modeling of Neural Networks,BIO-465,Computer Science Track Course,COMPA&T,4 Credits,B035825-03
Ecole Polytechnique Federale de Lausanne through the Global Virtual Exchange Program,Switzerland,Biological Modeling of Neural Networks,BIO-465,4000-level Course in Computer Science and Engineering,COMP4000LEVEL,4 Credits,B035825-04
Fudan University,China,Introduction to AI - Probabilistic Reasoning and Decision Making (2 credits),#,Computer Science Track Course,COMPA&T,2 Credits,B034993-02
Fudan University through virtual study,China,Introduction to AI – Probabilistic Reasoning and Decision Making (3 credits),#,Computer Science Track Course,COMPA&T,3 Credits,B037477-02
Fudan University through virtual study,China,Introduction to Artificial Intelligence-Probabilistic Reasoning and Decision Making (2 credits),ECON170026,Computer Science Track Course,COMPA&T,2 Credits,B036624-01
Hamburg University of Applied Sciences,Germany,Databases,#,Database Management Systems,COMP3311,3 Credits,B003980-02
Hamburg University of Applied Sciences,Germany,Operating Systems,#,Operating Systems,COMP3511,3 Credits,B004045-02
Hanyang University,"Korea, Republic of",AI and Finance,ISS1142,COMP 2000 LEVEL Course,COMP2000LEVEL,0 Credit,B035873-01
Hanyang University through virtual study,"Korea, Republic of",AI and Finance,ISS1142,2000-level Course in Computer Science and Engineering,COMP2000LEVEL,3 Credits,B035955-01
"Hong Kong Community College, The Hong Kong Polytechnic University","Hong Kong SAR, China",Applied Computing,CCN2041,Exploring Multimedia and Internet Computing,COMP1001,3 Credits,B020012-08
"Hong Kong Community College, The Hong Kong Polytechnic University","Hong Kong SAR, China",Computer Networking,CCN2238,Computer Communication Networks I,COMP4621,3 Credits,B002222-03
"Hong Kong Community College, The Hong Kong Polytechnic University","Hong Kong SAR, China",Computer Networking,SEHH2238,Computer Communication Networks I,COMP4621,3 Credits,B035175-01
"Hong Kong Community College, The Hong Kong Polytechnic University","Hong Kong SAR, China",Computer Organisation,SEHH2264,Computer Organization,COMP2611,4 Credits,B035183-01
"Hong Kong Community College, The Hong Kong Polytechnic University","Hong Kong SAR, China",Computer Organization,CCN2264,Computer Organization,COMP2611,4 Credits,B002215-02
"Hong Kong Community College, The Hong Kong Polytechnic University","Hong Kong SAR, China",Computer Systems Principles,CCN3133,Computer Science Track Course,COMPS&N,3 Credits,B020013-05
"Hong Kong Community College, The Hong Kong Polytechnic University","Hong Kong SAR, China",Computer Systems Principles,SEHH3133,Computer Science Track Course,COMPS&N,3 Credits,B036323-01
"Hong Kong Community College, The Hong Kong Polytechnic University","Hong Kong SAR, China",Data Structures,SEHH2239,Computer Science Track Course,COMPA&T,3 Credits,B035144-01
"Hong Kong Community College, The Hong Kong Polytechnic University","Hong Kong SAR, China",Data Structures,CCN2239,Computer Science Track Course,COMPA&T,3 Credits,B002218-02
"Hong Kong Community College, The Hong Kong Polytechnic University","Hong Kong SAR, China",Database Systems,SEHH2240,Database Management Systems,COMP3311,3 Credits,B035266-02
"Hong Kong Community College, The Hong Kong Polytechnic University","Hong Kong SAR, China",Database Systems,CCN2240,Database Management Systems,COMP3311,3 Credits,B002216-03
"Hong Kong Community College, The Hong Kong Polytechnic University","Hong Kong SAR, China",Discrete Structures,SEHH2241,Computer Science Track Course,COMPA&T,3 Credits,B035146-01
"Hong Kong Community College, The Hong Kong Polytechnic University","Hong Kong SAR, China",Discrete Structures,CCN2241,Computer Science Track Course,COMPA&T,3 Credits,B002219-03
"Hong Kong Community College, The Hong Kong Polytechnic University","Hong Kong SAR, China",Engineering Graphics and Computing,CCN2269,Computer Science Track Course,COMPG&M,3 Credits,B020019-04
"Hong Kong Community College, The Hong Kong Polytechnic University","Hong Kong SAR, China",Engineering Graphics and Computing,SEHH2269,Computer Science Track Course,COMPG&M,3 Credits,B035334-01
"Hong Kong Community College, The Hong Kong Polytechnic University","Hong Kong SAR, China",Information and Communication Technology,CCN1034,Exploring Multimedia and Internet Computing,COMP1001,3 Credits,B033026-01
"Hong Kong Community College, The Hong Kong Polytechnic University","Hong Kong SAR, China",Information and Communication Technology,SEHH1034,Exploring Multimedia and Internet Computing,COMP1001,3 Credits,B036136-01
"Hong Kong Community College, The Hong Kong Polytechnic University","Hong Kong SAR, China",Introduction to Human-Computer Interaction Methods,CCN2271,Human-Computer Interaction,COMP4461,3 Credits,B002229-02
"Hong Kong Community College, The Hong Kong Polytechnic University","Hong Kong SAR, China",Introduction to Human-Computer Interaction Methods,SEHH2271,Human-Computer Interaction,COMP4461,3 Credits,B035174-01
"Hong Kong Community College, The Hong Kong Polytechnic University","Hong Kong SAR, China",Introduction to Internet Technology,CCN1016,Exploring Multimedia and Internet Computing,COMP1001,3 Credits,B006676-02
"Hong Kong Community College, The Hong Kong Polytechnic University","Hong Kong SAR, China",Logic Design,CCN2272,Computer Science Track Course,COMPS&N,3 Credits,B002223-02
"Hong Kong Community College, The Hong Kong Polytechnic University","Hong Kong SAR, China",Logic Design,SEHH2272,Computer Science Track Course,COMPS&N,3 Credits,B035147-01
"Hong Kong Community College, The Hong Kong Polytechnic University","Hong Kong SAR, China",Object Oriented Programming,SEHH2242,Introduction to Computing with Java,COMP1022P,3 Credits,B035609-01
"Hong Kong Community College, The Hong Kong Polytechnic University","Hong Kong SAR, China",Operating Systems,SEHH2273,Computer Science Track Course,COMPS&N,3 Credits,B035182-02
"Hong Kong Community College, The Hong Kong Polytechnic University","Hong Kong SAR, China",Software Engineering,SEHH3143,Computer Science Track Course,COMPS&D,3 Credits,B036355-02
"Hong Kong Community College, The Hong Kong Polytechnic University","Hong Kong SAR, China",Visual Interface and Interaction Design and Development,SEHH2279,Human-Computer Interaction,COMP4461,3 Credits,B036441-02
"Hong Kong Community College, The Hong Kong Polytechnic University","Hong Kong SAR, China",Introduction to Internet Technology,SEHH1016,Exploring Multimedia and Internet Computing,COMP1001,3 Credits,B034989-01
Hong Kong Institute of Vocational Education,"Hong Kong SAR, China",Advanced Network Routing and Switching,ITP4937,Computer Science Track Course,COMPS&N,3 Credits,B036785-02
Hong Kong Institute of Vocational Education,"Hong Kong SAR, China","Artificial Intelligence, Big Data and Cyber Security",EEE4460,Computer Science Track Course,COMPA&T,3 Credits,B037047-02
Hong Kong Institute of Vocational Education,"Hong Kong SAR, China","Artificial Intelligence, Big Data and Cyber Security",EEE4460,Computer Science Track Course,COMPA&T,3 Credits,B036319-02
Hong Kong Institute of Vocational Education,"Hong Kong SAR, China",Augmented And Virtual Reality Engineering,EEE3454,Computer Science Track Course,COMPG&M,3 Credits,B036797-03
Hong Kong Institute of Vocational Education,"Hong Kong SAR, China",Computer Programming for Engineering Applications,EEE3801,Introduction to Computing with Java,COMP1022P,3 Credits,B035547-02
Hong Kong Institute of Vocational Education,"Hong Kong SAR, China",Connecting WAN,ITP4938,Computer Science Track Course,COMPS&N,3 Credits,B036783-02
Hong Kong Institute of Vocational Education,"Hong Kong SAR, China",Data Science and Machine Learning,ITP4867,Machine Learning,COMP4211,3 Credits,B035561-01
Hong Kong Institute of Vocational Education,"Hong Kong SAR, China",Data Visualization,ITP4864,Data Visualization,COMP4462,3 Credits,B035563-01
Hong Kong Institute of Vocational Education,"Hong Kong SAR, China",Data Warehousing and Data Mining,ITP4868,Data Mining,COMP4331,3 Credits,B035562-01
Hong Kong Institute of Vocational Education,"Hong Kong SAR, China",Database Principles,ITP4903,Database Management Systems,COMP3311,3 Credits,B002283-02
Hong Kong Institute of Vocational Education,"Hong Kong SAR, China",Discrete Mathematics and Statistics,ITP3902,Computer Science Track Course,COMPA&T,3 Credits,B033020-01
Hong Kong Institute of Vocational Education,"Hong Kong SAR, China",Information Technology Essentials - Applied Science,ITE3004,1000-level Course in Computer Science and Engineering,COMP1000LEVEL,3 Credits,B002914-04
Hong Kong Institute of Vocational Education,"Hong Kong SAR, China",Information Technology Essentials - Technical,ITE3002,Exploring Multimedia and Internet Computing,COMP1001,3 Credits,B002271-02
Hong Kong Institute of Vocational Education,"Hong Kong SAR, China",Introduction to Networks,ITE3113,Computer Communication Networks I,COMP4621,3 Credits,B036784-01
Hong Kong Institute of Vocational Education,"Hong Kong SAR, China",Introduction to Programming,ITE3101,Introduction to Computing with Java,COMP1022P,3 Credits,B002272-03
Hong Kong Institute of Vocational Education,"Hong Kong SAR, China",IP Routing Implementation,ITP4939,Computer Science Track Course,COMPS&N,3 Credits,B036786-02
Hong Kong Institute of Vocational Education,"Hong Kong SAR, China",Mobile Platforms and Devices,EEE4209,Mobile Application Development,COMP4521,3 Credits,B036151-01
Hong Kong Institute of Vocational Education,"Hong Kong SAR, China",Mobile Platforms and Devices,EIE4225,Mobile Application Development,COMP4521,3 Credits,B033233-01
Hong Kong Institute of Vocational Education,"Hong Kong SAR, China",Network Fundamentals,ITE3102,Computer Communication Networks I,COMP4621,3 Credits,B002273-02
Hong Kong Institute of Vocational Education,"Hong Kong SAR, China",Network Security (eqv code: ITP4304),ITP4314,Computer and Communication Security,COMP4631,3 Credits,B002277-02
Hong Kong Institute of Vocational Education,"Hong Kong SAR, China",Object Oriented Programming,ITP4905,Introduction to Computing with Java,COMP1022P,3 Credits,B002284-03
Hong Kong Institute of Vocational Education,"Hong Kong SAR, China",Object Oriented Technology,ITP4909,Computer Science Track Course,COMPS&D,3 Credits,B037471-02
Hong Kong Institute of Vocational Education,"Hong Kong SAR, China",Object-oriented and Mobile Device Programming,EEE3457,Mobile Application Development,COMP4521,3 Credits,B036314-02
Hong Kong Institute of Vocational Education,"Hong Kong SAR, China",Operating Systems Fundamentals,ITP3901,Computer Science Track Course,COMPS&N,3 Credits,B033021-01
Institut Supérieur d'Électronique de Paris,France,Advanced Web Technologies,II3506,Internet Computing,COMP4021,3 Credits,B006105-04
Institut Supérieur d'Électronique de Paris,France,Computer Microsystems,IE2410,Operating Systems,COMP3511,3 Credits,B033585-02
Institut Supérieur d'Électronique de Paris,France,Data Analysis,II2313/II2413,Computer Science Track Course,COMPA&T,3 Credits,B034388-04
Institut Supérieur d'Électronique de Paris,France,Databases and Big Data,II2314/II2414,Database Management Systems,COMP3311,3 Credits,B034387-01
Institut Supérieur d'Électronique de Paris,France,Introduction to Artificial Intelligence,ID2401,Fundamentals of Artificial Intelligence,COMP3211,3 Credits,B034390-01
Institut Supérieur d'Électronique de Paris,France,Machine Learning,IG3510,Machine Learning,COMP4211,3 Credits,B034542-01
Institut Supérieur d'Électronique de Paris,France,Mobile Development / Services for mobility,II3510,Mobile Application Development,COMP4521,3 Credits,B006102-04
Korea Advanced Institute of Science and Technology,"Korea, Republic of",Operating Systems and Lab,CS330,Operating Systems,COMP3511,3 Credits,B037355-01
Korea University,"Korea, Republic of",Artificial Intelligence,COSE361,Fundamentals of Artificial Intelligence,COMP3211,3 Credits,B037409-02
Korea University,"Korea, Republic of",Computer Architecture,COSE222,Computer Organization,COMP2611,4 Credits,B033155-01
Korea University,"Korea, Republic of",Databases,COSE371,Database Management Systems,COMP3311,3 Credits,B033287-01
Korea University,"Korea, Republic of",Discrete Mathematics,COSE211,Discrete Mathematical Tools for Computer Science,COMP2711,4 Credits,B034381-01
Korea University,"Korea, Republic of",Machine Learning,COSE362,Machine Learning,COMP4211,3 Credits,B035004-01
Korea University,"Korea, Republic of",Software Engineering,COSE352,Software Engineering,COMP3111,4 Credits,B033156-01
Korea University,"Korea, Republic of",Theory of Computation,COSE215,Theory of Computation,COMP3721,3 Credits,B037590-01
Lancaster University,United Kingdom,Databases,SSC201,Database Management Systems,COMP3311,3 Credits,B037115-01
Linnaeus University,Sweden,Discrete Mathematics,1MA462,Discrete Mathematical Tools for Computer Science,COMP2711,4 Credits,B008417-02
Lund University,Sweden,Artificial Intelligence,EDAP01,Fundamentals of Artificial Intelligence,COMP3211,3 Credits,B036381-01
Lund University,Sweden,Computer Vision,FMAN95,Computer Science Track Course,COMPG&M,3 Credits,B036379-02
Lund University,Sweden,Machine Learning,FMAN45,Machine Learning,COMP4211,3 Credits,B036380-01
Metropolia University of Applied Sciences,Finland,Basics of Virtualization and Cloud Computing,TX00DH60,Computer Science Track Course,COMPS&D,3 Credits,B032970-02
Metropolia University of Applied Sciences,Finland,Cybersecurity Operations,TX00DP60,Practicing Cybersecurity: Attacks and Counter-measures,COMP4632,3 Credits,B032966-01
Metropolia University of Applied Sciences,Finland,Internet of Things,TX00CI63,Computer Science Track Course,COMPS&N,3 Credits,B030195-03
Michigan State University,United States,Web Application Development,CSE477,Internet Computing,COMP4021,3 Credits,B034841-01
Nanyang Technological University,Singapore,Algorithms for the Real World,MH3400,Design and Analysis of Algorithms,COMP3711,3 Credits,B035365-01
Nanyang Technological University,Singapore,Artificial Intelligence and Data Mining,EE4483,Computer Science Track Course,COMPA&T,3 Credits,B033337-01
National Taiwan University,Taiwan,Advanced Artificial Intelligence (高等人工智慧),CSIE7007,Fundamentals of Artificial Intelligence,COMP3211,3 Credits,B035957-02
National Taiwan University,Taiwan,Advanced Interactive Technologies,CSIE7645,Computer Science Track Course,COMPG&M,3 Credits,B035101-02
National Taiwan University,Taiwan,Algorithms,EE4033,Design and Analysis of Algorithms,COMP3711,3 Credits,B036139-01
National Taiwan University,Taiwan,Augmented Reality Special Project,CSIE5011,Computer Science Track Course,COMPG&M,3 Credits,B035641-01
National Taiwan University,Taiwan,Computer Architecture,CSIE3340,Computer Organization,COMP2611,4 Credits,B036141-01
National Taiwan University,Taiwan,Computer Programming,LIS2009,Introduction to Computing with Java,COMP1022P,3 Credits,B035932-01
National Taiwan University,Taiwan,Computer Science and Information Technology (1) 前瞻資訊科技一,CSIE3015,3000-level Course in Computer Science and Engineering,COMP3000LEVEL,3 Credits,B036093-01
National Taiwan University,Taiwan,Computer System Laboratory,CSIE3311,Computer Science Track Course,COMPG&M,2 Credits,B036144-02
National Taiwan University,Taiwan,Cryptography and Network Security,CSIE7190,Computer and Communication Security,COMP4631,3 Credits,B034742-01
National Taiwan University,Taiwan,Data Structures and Algorithms,CSIE1212,Programming with C++,COMP2011,4 Credits,B035803-02
National Taiwan University,Taiwan,Database Management System – from SQL to NoSQL,EE5178,Database Management Systems,COMP3311,3 Credits,B036138-01
National Taiwan University,Taiwan,Game Programming,CSIE5121,Game Programming,COMP4451,3 Credits,B035740-01
National Taiwan University,Taiwan,Introduction to Digital Speech Processing 數位語音處理概論,EE4037,Computer Science Track Course,COMPA&T,3 Credits,B036134-02
National Taiwan University,Taiwan,Machine Learning,EE5184,Machine Learning,COMP4211,3 Credits,B036140-01
National Taiwan University,Taiwan,Machine Learning Foundations,CSIE5432,Machine Learning,COMP4211,3 Credits,B036132-01
National Taiwan University,Taiwan,Practicum of Attacking and Defense of Network Security 網路攻防實習,EE5188,Practicing Cybersecurity: Attacks and Counter-measures,COMP4632,3 Credits,B034337-01
National Taiwan University,Taiwan,Programming Design,IM1003,Programming with C++,COMP2011,4 Credits,B035771-01
National Taiwan University,Taiwan,Software Engineering Design,CSIE5734,Software Engineering,COMP3111,4 Credits,B036370-01
National Tsing Hua University,Taiwan,Programming Design,PME3001,Introduction to Computer Science,COMP1021,3 Credits,B033515-01
National Tsing Hua University through virtual study,Taiwan,Analysis and Synthesis of Digital Audio Signals,#,Computer Science Track Course,COMPG&M,0 Credit,B035916-02
National Tsing Hua University through virtual study,Taiwan,Introduction to Data Structure,#,Computer Science Track Course,COMPA&T,0 Credit,B035918-02
National University of Singapore,Singapore,3D Computer Vision,CS4277,Computer Science Track Course,COMPA&T,3 Credits,B035505-02
National University of Singapore,Singapore,AI Planning and Decision Making,CS4246,Computer Science Track Course,COMPA&T,3 Credits,B005597-04
National University of Singapore,Singapore,Computer Organization,CS2100,Computer Organization,COMP2611,4 Credits,B003587-02
National University of Singapore,Singapore,Introduction to Machine Learning and Applications,IT3011,Machine Learning,COMP4211,3 Credits,B035324-01
National University of Singapore,Singapore,Parallel and Concurrent Programming,CS3211,Computer Science Track Course,COMPS&D,3 Credits,B035688-02
National University of Singapore,Singapore,Programming Language Concepts,CS2104,Principles of Programming Languages,COMP3031,3 Credits,B005593-02
National University of Singapore,Singapore,Software Engineering And Object-Oriented Programming,CS2113,Software Engineering,COMP3111,4 Credits,B037032-01
Newcastle University,United Kingdom,Big Data Analytics,CSC8101,Computer Science Track Course,COMPS&D,3 Credits,B037518-02
Newcastle University,United Kingdom,Cryptography,CSC3621,Computer and Communication Security,COMP4631,3 Credits,B032852-01
Newcastle University,United Kingdom,Database Technology,CSC2024,Database Management Systems,COMP3311,3 Credits,B035477-01
Newcastle University,United Kingdom,Graphics for Games,CSC3223,Computer Science Track Course,COMPG&M,3 Credits,B002017-03
Newcastle University,United Kingdom,Programming for Games,CSC3221,Computer Science Track Course,COMPS&D,3 Credits,B002016-03
Newcastle University,United Kingdom,Understanding Concurrency,CSC3324,Computer Science Track Course,COMPS&D,3 Credits,B033699-01
Northwestern University,United States,AI Programming,CS325,Computer Science Track Course,COMPS&D,2 Credits,B034506-02
Northwestern University,United States,Introduction to Database Systems,COMPSCI339,Database Management Systems,COMP3311,3 Credits,B037564-01
Northwestern University,United States,Machine Learning,COMPSCI349-X,Machine Learning,COMP4211,3 Credits,B034842-01
Northwestern University,United States,Operating Systems,COMPSCI343,Operating Systems,COMP3511,3 Credits,B034317-01
NYU Shanghai,China,Introduction to Computer Programming,CSCI-SHU11,Introduction to Computer Science,COMP1021,3 Credits,B034906-01
Peking University,China,Intro. to Natural Language Processing 自然语言处理导论,04831780,Introduction to Natural Language Processing,COMP4221,3 Credits,B034679-01
Peking University,China,"Theories, models & methods of computational Vision 计算视觉理论、模型与方法",04802019,Computer Vision,COMP5421,3 Credits,B034680-01
Pomona College,United States,Introduction to Computer Science in Python,CSCI051P,Introduction to Computer Science,COMP1021,3 Credits,B035338-01
Purdue University,United States,Data Mining,MGMT47300,Data Mining,COMP4331,3 Credits,B034014-02
Purdue University,United States,Introduction to Artificial Intelligence,CS47100,Fundamentals of Artificial Intelligence,COMP3211,3 Credits,B034885-01
Ramon Llull University,Spain,Artificial Intelligence and Machine Learning,B11030,Machine Learning,COMP4211,3 Credits,B030740-02
Royal Institute of Technology,Sweden,Algorithms and Complexity,DD2352,Design and Analysis of Algorithms,COMP3711,3 Credits,B037158-01
Royal Institute of Technology,Sweden,Applied Cryptography,DD2520,Computer Science Track Course,COMPS&N,3 Credits,B037664-04
Royal Institute of Technology,Sweden,Applied Cryptography,DD2520,Computer and Communication Security,COMP4631,3 Credits,B037396-01
Royal Institute of Technology,Sweden,Artificial Neural Networks and Deep Architectures,DD2437,COMPA&T - Computer Science Track Course,COMPA&T,3 Credits,B034876-01
Royal Institute of Technology,Sweden,Automated Software Testing and DevOps,DD2482,Computer Science Track Course,COMPS&D,3 Credits,B034408-03
Royal Institute of Technology,Sweden,Automated Software Testing and DevOps,DD2482,Computer Science Track Course,COMPS&D,0 Credit,B034408-01
Royal Institute of Technology,Sweden,Computer security,DD239U,Principles of Cybersecurity,COMP3632,3 Credits,B037395-02
Royal Institute of Technology,Sweden,"Data Mining, Basic Course",ID2211,Computer Science Track Course,COMPS&D,3 Credits,B036997-03
Royal Institute of Technology,Sweden,Developing Mobile Applications,ID2216,Mobile Application Development,COMP4521,3 Credits,B003825-04
Royal Institute of Technology,Sweden,Digital Image Processing and Applications,AG2413,Image Processing,COMP4421,3 Credits,B037533-01
Royal Institute of Technology,Sweden,Evaluation Methods in Human-Computer Interaction,DH2408,Human-Computer Interaction,COMP4461,3 Credits,B033285-01
Royal Institute of Technology,Sweden,Foundations of Cryptography,DD2448,Computer Science Track Course,COMPS&N,3 Credits,B037020-02
Royal Institute of Technology,Sweden,Foundations of Machine Learning,DD1420,Machine Learning,COMP4211,3 Credits,B036975-01
Royal Institute of Technology,Sweden,Information Visualization,DH2321,Data Visualization,COMP4462,3 Credits,B037532-01
Royal Institute of Technology,Sweden,Internetworking,IK1552,Computer Communication Networks I,COMP4621,3 Credits,B033184-01
Royal Institute of Technology,Sweden,Introduction to Computer Security,IV1013,Computer and Communication Security,COMP4631,3 Credits,B036976-01
Royal Institute of Technology,Sweden,Introduction to High Performance Computing,DD2358,Parallel Programming,COMP5112,3 Credits,B036977-01
Royal Institute of Technology,Sweden,"Introduction to Visualization, Computer Graphics and Image/Video Processing",DD2258,Computer Science Track Course,COMPG&M,3 Credits,B036978-03
Royal Institute of Technology,Sweden,Language-Based Security,DD2525,Computer Science Track Course,COMPS&N,3 Credits,B037665-04
Royal Institute of Technology,Sweden,Large-Scale Software Development,DD2487,2000-level Course in Computer Science and Engineering,COMP2000LEVEL,3 Credits,B035376-01
Royal Institute of Technology,Sweden,Machine Learning,DD2421,Machine Learning,COMP4211,3 Credits,B020263-03
Royal Institute of Technology,Sweden,Methods in High Performance Computing,DD2356,Computer Science Track Course,COMPS&D,3 Credits,B033186-02
Royal Institute of Technology,Sweden,Multimodal Interaction and Interfaces,DT2140,Computer Science Track Course,COMPG&M,3 Credits,B033286-01
Royal Institute of Technology,Sweden,Parallel Computations for Large- Scale Problems,SF2568,Parallel Programming,COMP5112,3 Credits,B033185-01
Royal Institute of Technology,Sweden,Principles of Programming Languages,DD2481,Principles of Programming Languages,COMP3031,3 Credits,B034407-01
Royal Institute of Technology,Sweden,Search Engines and Information Retrieval Systems,DD2477,Search Engines for Web and Enterprise Data,COMP4321,3 Credits,B037534-01
Royal Institute of Technology,Sweden,Software Engineering Fundamentals,DD2480,Software Engineering,COMP3111,4 Credits,B037170-01
"School of Professional and Continuing Education, The University of Hong Kong","Hong Kong SAR, China",Big Data Applications and Analytics,CCIT4079,Computer Science Track Course,COMPA&T,3 Credits,B036364-02
"School of Professional and Continuing Education, The University of Hong Kong","Hong Kong SAR, China",Computer Systems and Network Protocol Essentials (eqv code: CC88-646),CCIT4053,Computer Science Track Course,COMPS&N,3 Credits,B002258-02
"School of Professional and Continuing Education, The University of Hong Kong","Hong Kong SAR, China",Data and Computer Communication,CCIM4034,Computer Communication Networks I,COMP4621,3 Credits,B035439-01
"School of Professional and Continuing Education, The University of Hong Kong","Hong Kong SAR, China",Data Mining,CCIT4075,Data Mining,COMP4331,3 Credits,B031795-01
"School of Professional and Continuing Education, The University of Hong Kong","Hong Kong SAR, China",Data Visualization,CCIT4092,Data Visualization,COMP4462,3 Credits,B036362-01
"School of Professional and Continuing Education, The University of Hong Kong","Hong Kong SAR, China",Ethical Hacking (eqv code: CC88-624),CCIT4037,Practicing Cybersecurity: Attacks and Counter-measures,COMP4632,3 Credits,B002261-02
"School of Professional and Continuing Education, The University of Hong Kong","Hong Kong SAR, China",Information Security (eqv code: CC88-299),CCIT4014,Computer and Communication Security,COMP4631,3 Credits,B000125-03
"School of Professional and Continuing Education, The University of Hong Kong","Hong Kong SAR, China",Information Technology Fundamentals,CCIT4085,Exploring Multimedia and Internet Computing,COMP1001,3 Credits,B036222-04
"School of Professional and Continuing Education, The University of Hong Kong","Hong Kong SAR, China",Internet Programming (eqv code: CC88-760),CCIT4058,Internet Computing,COMP4021,3 Credits,B005333-02
"School of Professional and Continuing Education, The University of Hong Kong","Hong Kong SAR, China",Introduction to Computer Programming (eqv code: CC88-321),CCIT4020,Introduction to Computing with Java,COMP1022P,3 Credits,B002263-03
"School of Professional and Continuing Education, The University of Hong Kong","Hong Kong SAR, China",Introduction to Data Structures and Algorithms,CCIT4016,Computer Science Track Course,COMPA&T,3 Credits,B006686-02
"School of Professional and Continuing Education, The University of Hong Kong","Hong Kong SAR, China",Introduction to Database Systems (eqv code: CC88-620),CCIT4033,Database Management Systems,COMP3311,3 Credits,B002264-02
"School of Professional and Continuing Education, The University of Hong Kong","Hong Kong SAR, China",Introduction to Information Security,CCIT4014,Computer and Communication Security,COMP4631,3 Credits,B036644-01
